,Date_and_Time_UTC,Number_of_Detections (1800e1800),Number_of_Detections (300e1800),Number_of_Detections (60e360)
0,2022-08-26 03:00:00,0,0,0
1,2022-08-26 03:30:00,39,6,1
2,2022-08-26 04:00:00,0,0,0
3,2022-08-26 04:30:00,5,0,1
4,2022-08-26 05:00:00,0,0,0
5,2022-08-26 05:30:00,0,0,0
6,2022-08-26 06:00:00,1,0,1
7,2022-08-26 06:30:00,58,57,1
8,2022-08-26 07:00:00,2,0,0
9,2022-08-26 07:30:00,0,0,0
10,2022-08-26 08:00:00,4,0,2
11,2022-08-26 08:30:00,10,2,1
12,2022-08-26 09:00:00,11,1,0
13,2022-08-26 09:30:00,8,1,0
14,2022-08-26 10:00:00,3,0,1
15,2022-08-26 10:30:00,0,0,0
16,2022-08-26 11:00:00,2,1,0
17,2022-08-26 11:30:00,1,0,0
18,2022-08-26 12:00:00,0,0,0
19,2022-08-26 12:30:00,0,0,0
20,2022-08-26 13:00:00,0,0,0
21,2022-08-27 03:00:00,9,0,0
22,2022-08-27 03:30:00,142,31,52
23,2022-08-27 04:00:00,7,0,0
24,2022-08-27 04:30:00,6,2,0
25,2022-08-27 05:00:00,4,1,1
26,2022-08-27 05:30:00,3,0,0
27,2022-08-27 06:00:00,5,0,1
28,2022-08-27 06:30:00,3,0,0
29,2022-08-27 07:00:00,0,0,0
30,2022-08-27 07:30:00,6,0,1
31,2022-08-27 08:00:00,5,1,2
32,2022-08-27 08:30:00,1,0,0
33,2022-08-27 09:00:00,2,2,1
34,2022-08-27 09:30:00,2,0,0
35,2022-08-27 10:00:00,7,0,0
36,2022-08-27 10:30:00,4,0,2
37,2022-08-27 11:00:00,2,0,0
38,2022-08-27 11:30:00,11,0,0
39,2022-08-27 12:00:00,0,0,0
40,2022-08-27 12:30:00,0,0,0
41,2022-08-27 13:00:00,0,0,0
42,2022-08-28 03:00:00,11,0,0
43,2022-08-28 03:30:00,33,5,6
44,2022-08-28 04:00:00,0,0,0
45,2022-08-28 04:30:00,0,0,0
46,2022-08-28 05:00:00,0,0,0
47,2022-08-28 05:30:00,0,0,0
48,2022-08-28 06:00:00,0,0,0
49,2022-08-28 06:30:00,0,0,0
50,2022-08-28 07:00:00,0,0,0
51,2022-08-28 07:30:00,0,0,0
52,2022-08-28 08:00:00,0,0,0
53,2022-08-28 08:30:00,0,0,0
54,2022-08-28 09:00:00,0,0,0
55,2022-08-28 09:30:00,0,0,0
56,2022-08-28 10:00:00,1,0,0
57,2022-08-28 10:30:00,0,0,0
58,2022-08-28 11:00:00,0,0,0
59,2022-08-28 11:30:00,1,0,0
60,2022-08-28 12:00:00,0,0,0
61,2022-08-28 12:30:00,0,0,0
62,2022-08-28 13:00:00,0,0,0
63,2022-08-29 03:00:00,47,0,0
64,2022-08-29 03:30:00,188,76,87
65,2022-08-29 04:00:00,0,0,0
66,2022-08-29 04:30:00,0,0,0
67,2022-08-29 05:00:00,0,0,0
68,2022-08-29 05:30:00,1,0,0
69,2022-08-29 06:00:00,0,0,0
70,2022-08-29 06:30:00,0,0,0
71,2022-08-29 07:00:00,0,0,0
72,2022-08-29 07:30:00,0,0,0
73,2022-08-29 08:00:00,0,0,0
74,2022-08-29 08:30:00,1,0,0
75,2022-08-29 09:00:00,0,0,0
76,2022-08-29 09:30:00,0,0,0
77,2022-08-29 10:00:00,1,0,0
78,2022-08-29 10:30:00,0,0,0
79,2022-08-29 11:00:00,0,0,0
80,2022-08-29 11:30:00,0,0,0
81,2022-08-29 12:00:00,1,0,0
82,2022-08-29 12:30:00,1,0,0
83,2022-08-29 13:00:00,0,0,0
