start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
357.0155,357.0208,44375.0,54725.0,Echolocation,Pipistrellus pipistrellus,0.529,0.615,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221016_050000.WAV,Central Pond,recover-20221017,009
357.2885,357.296,44375.0,53250.0,Echolocation,Pipistrellus pipistrellus,0.473,0.541,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221016_050000.WAV,Central Pond,recover-20221017,009
961.0125,961.0343,24609.0,27663.0,Echolocation,Nyctalus leisleri,0.454,0.508,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221016_050000.WAV,Central Pond,recover-20221017,009
966.5005,966.5198,24609.0,26702.0,Echolocation,Nyctalus leisleri,0.468,0.505,-1,/mnt/ubna_data_02/recover-20221017/UBNA_009/20221016_050000.WAV,Central Pond,recover-20221017,009
