start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
75.9225,75.9372,26328.0,29204.0,Echolocation,Nyctalus leisleri,0.628,0.662,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
82.5245,82.53960000000001,27187.0,30030.0,Echolocation,Nyctalus leisleri,0.423,0.543,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
83.5775,83.5929,26328.0,29461.0,Echolocation,Nyctalus leisleri,0.502,0.6,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
85.3565,85.3708,27187.0,30436.0,Echolocation,Nyctalus leisleri,0.367,0.511,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
85.4695,85.4834,26328.0,30594.0,Echolocation,Nyctalus leisleri,0.484,0.644,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
86.2715,86.2847,26328.0,31241.0,Echolocation,Nyctalus leisleri,0.321,0.576,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
166.7665,166.7853,23750.0,27411.0,Echolocation,Nyctalus leisleri,0.478,0.529,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
169.2505,169.2672,23750.0,27092.0,Echolocation,Nyctalus leisleri,0.546,0.598,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
412.2325,412.2525,25468.0,29153.0,Echolocation,Nyctalus leisleri,0.433,0.511,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
413.8635,413.8828,24609.0,27651.0,Echolocation,Nyctalus leisleri,0.619,0.661,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
414.1085,414.1245,25468.0,28135.0,Echolocation,Nyctalus leisleri,0.561,0.64,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
414.3485,414.3658,25468.0,27675.0,Echolocation,Nyctalus leisleri,0.639,0.686,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
414.5535,414.5698,25468.0,28496.0,Echolocation,Nyctalus leisleri,0.397,0.591,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
414.7605,414.7762,25468.0,28178.0,Echolocation,Nyctalus leisleri,0.597,0.729,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
414.9975,415.0161,25468.0,27832.0,Echolocation,Nyctalus leisleri,0.506,0.558,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
415.3555,415.3719,25468.0,28101.0,Echolocation,Nyctalus leisleri,0.611,0.669,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
415.5465,415.5646,25468.0,27947.0,Echolocation,Nyctalus leisleri,0.442,0.545,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
416.0535,416.0734,24609.0,27557.0,Echolocation,Nyctalus leisleri,0.536,0.588,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
417.54449999999997,417.5608,25468.0,29157.0,Echolocation,Nyctalus leisleri,0.381,0.528,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
419.0455,419.0625,26328.0,30058.0,Echolocation,Nyctalus leisleri,0.364,0.526,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
419.2835,419.2975,25468.0,29486.0,Echolocation,Nyctalus leisleri,0.497,0.641,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
419.7515,419.7646,25468.0,29832.0,Echolocation,Nyctalus leisleri,0.542,0.665,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
419.8825,419.8942,25468.0,30718.0,Echolocation,Nyctalus leisleri,0.547,0.675,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
420.1135,420.1273,25468.0,29131.0,Echolocation,Nyctalus leisleri,0.531,0.647,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
420.3555,420.3719,25468.0,28021.0,Echolocation,Nyctalus leisleri,0.504,0.626,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
420.5765,420.594,25468.0,28436.0,Echolocation,Nyctalus leisleri,0.366,0.631,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
420.8145,420.8332,25468.0,28087.0,Echolocation,Nyctalus leisleri,0.457,0.534,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
421.1695,421.1856,25468.0,28694.0,Echolocation,Nyctalus leisleri,0.481,0.599,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
421.4185,421.4372,25468.0,28599.0,Echolocation,Nyctalus leisleri,0.46,0.522,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
421.6715,421.6898,25468.0,28397.0,Echolocation,Nyctalus leisleri,0.492,0.555,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
421.9145,421.9328,25468.0,28073.0,Echolocation,Nyctalus leisleri,0.437,0.515,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
422.1665,422.1856,24609.0,28246.0,Echolocation,Nyctalus leisleri,0.577,0.637,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
422.5345,422.5456,26328.0,31721.0,Echolocation,Nyctalus leisleri,0.365,0.604,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
423.7425,423.7632,24609.0,27486.0,Echolocation,Nyctalus leisleri,0.532,0.593,-1,/mnt/ubna_data_02/recover-20220926/UBNA_009/20220924_040000.WAV,Central Pond,recover-20220926,009
