start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card,File Duration
25.4455,25.451,22890.0,35451.0,Plecotus austriacus,0.163,0.212,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
46.2185,46.2367,25468.0,29447.0,Nyctalus leisleri,0.167,0.267,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
46.7675,46.7863,25468.0,29187.0,Nyctalus leisleri,0.295,0.4,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
47.1755,47.195,24609.0,28462.0,Nyctalus leisleri,0.155,0.309,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
48.7065,48.7304,24609.0,28585.0,Nyctalus leisleri,0.15,0.242,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
57.0255,57.0419,23750.0,28517.0,Nyctalus leisleri,0.269,0.399,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
87.1055,87.1259,22890.0,27318.0,Nyctalus leisleri,0.14,0.259,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
149.3715,149.387,21171.0,26942.0,Nyctalus noctula,0.239,0.362,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
173.2135,173.231,24609.0,29977.0,Nyctalus leisleri,0.281,0.461,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
174.0155,174.0356,26328.0,29856.0,Nyctalus leisleri,0.134,0.241,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
174.4115,174.4318,23750.0,29040.0,Nyctalus leisleri,0.153,0.326,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
174.8115,174.8346,25468.0,29168.0,Nyctalus leisleri,0.11,0.213,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
174.8175,174.8365,25468.0,28932.0,Nyctalus leisleri,0.142,0.222,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
175.4855,175.5029,24609.0,27775.0,Nyctalus leisleri,0.458,0.544,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
176.2835,176.3032,25468.0,29343.0,Nyctalus leisleri,0.33,0.421,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
176.6775,176.6986,25468.0,29997.0,Nyctalus leisleri,0.218,0.351,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
177.4715,177.49099999999999,25468.0,29512.0,Nyctalus leisleri,0.282,0.464,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
178.1415,178.1573,25468.0,29597.0,Nyctalus leisleri,0.264,0.378,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
178.4145,178.4299,26328.0,30217.0,Nyctalus leisleri,0.302,0.514,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
179.1945,179.21620000000001,25468.0,29668.0,Nyctalus leisleri,0.272,0.378,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
179.47050000000002,179.4917,25468.0,30301.0,Nyctalus leisleri,0.284,0.429,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
180.1465,180.1656,25468.0,29943.0,Nyctalus leisleri,0.236,0.337,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
180.4145,180.4349,25468.0,30504.0,Nyctalus leisleri,0.249,0.45,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
181.4825,181.506,25468.0,29540.0,Nyctalus leisleri,0.156,0.242,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
181.7555,181.7805,25468.0,29757.0,Nyctalus leisleri,0.186,0.292,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
182.0325,182.0532,26328.0,30393.0,Nyctalus leisleri,0.227,0.339,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
182.1905,182.2079,26328.0,31530.0,Nyctalus leisleri,0.199,0.434,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
182.3575,182.3742,25468.0,30137.0,Nyctalus leisleri,0.342,0.509,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
182.5355,182.5533,25468.0,30208.0,Nyctalus leisleri,0.335,0.487,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
182.9915,183.0094,24609.0,28782.0,Nyctalus leisleri,0.292,0.384,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
183.2855,183.3015,23750.0,27457.0,Nyctalus leisleri,0.181,0.283,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
183.6695,183.6945,24609.0,29210.0,Nyctalus leisleri,0.193,0.338,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
183.6795,183.704,24609.0,27348.0,Nyctalus leisleri,0.179,0.209,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
184.5065,184.5333,24609.0,28788.0,Nyctalus leisleri,0.128,0.219,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
184.7845,184.8036,24609.0,28318.0,Nyctalus leisleri,0.374,0.482,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
184.9305,184.94650000000001,25468.0,29643.0,Nyctalus leisleri,0.21,0.326,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
186.0555,186.0758,24609.0,28989.0,Nyctalus leisleri,0.296,0.465,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
186.7145,186.7336,24609.0,27970.0,Nyctalus leisleri,0.368,0.514,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
187.5425,187.5623,24609.0,27589.0,Nyctalus leisleri,0.233,0.314,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
189.0605,189.0825,24609.0,28775.0,Nyctalus leisleri,0.172,0.269,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
189.1175,189.143,22031.0,25970.0,Nyctalus leisleri,0.136,0.262,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
189.3345,189.3539,25468.0,28774.0,Nyctalus leisleri,0.17,0.248,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
192.8115,192.831,22890.0,25487.0,Nyctalus leisleri,0.478,0.508,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
193.4395,193.4624,22890.0,26526.0,Nyctalus leisleri,0.33,0.384,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
193.9495,193.9688,22890.0,25964.0,Nyctalus leisleri,0.582,0.608,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
195.5385,195.5585,22890.0,26099.0,Nyctalus leisleri,0.376,0.406,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
196.2055,196.226,22890.0,26482.0,Nyctalus leisleri,0.364,0.416,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
197.0085,197.02609999999999,22890.0,25979.0,Nyctalus leisleri,0.217,0.319,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
197.9325,197.9527,22890.0,26808.0,Nyctalus leisleri,0.127,0.212,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
198.9205,198.9425,22031.0,26009.0,Nyctalus leisleri,0.218,0.305,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
199.4615,199.4837,22890.0,26401.0,Nyctalus leisleri,0.204,0.282,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
200.5735,200.5925,22031.0,25921.0,Nyctalus leisleri,0.264,0.325,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
201.6725,201.69389999999999,21171.0,25511.0,Nyctalus leisleri,0.206,0.333,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
202.3775,202.3974,22031.0,26078.0,Nyctalus leisleri,0.347,0.421,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
202.6715,202.6898,22031.0,25211.0,Nyctalus leisleri,0.493,0.542,-1,Echolocation,/mnt/ubna_data_01_mir/recover-20220808/UBNA_012/20220808_103000.WAV,Central Pond,recover-20220808,012,1795
