,ref_time,start_time_wrt_ref,end_time_wrt_ref,call_start_time,call_end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
0,2022-08-26 03:30:00,198.3085,198.3216,2022-08-26 03:33:18.308500000,2022-08-26 03:33:18.321600000,25468.0,33373.0,Echolocation,Eptesicus serotinus,0.305,0.619,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
1,2022-08-26 03:30:00,198.4675,198.4778,2022-08-26 03:33:18.467500000,2022-08-26 03:33:18.477800000,24609.0,33321.0,Echolocation,Nyctalus leisleri,0.373,0.704,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
2,2022-08-26 03:30:00,198.7335,198.7458,2022-08-26 03:33:18.733500000,2022-08-26 03:33:18.745800000,24609.0,33000.0,Echolocation,Eptesicus serotinus,0.31,0.651,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
3,2022-08-26 03:30:00,198.8895,198.9024,2022-08-26 03:33:18.889500000,2022-08-26 03:33:18.902400000,24609.0,31208.0,Echolocation,Nyctalus leisleri,0.21,0.505,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
4,2022-08-26 03:30:00,199.0485,199.0615,2022-08-26 03:33:19.048500000,2022-08-26 03:33:19.061500000,24609.0,30468.0,Echolocation,Nyctalus leisleri,0.252,0.514,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
5,2022-08-26 03:30:00,200.0785,200.0916,2022-08-26 03:33:20.078500000,2022-08-26 03:33:20.091600000,23750.0,31325.0,Echolocation,Eptesicus serotinus,0.296,0.502,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_033000.WAV,recover-20220828,UBNA_007,Telephone Field
0,2022-08-26 06:30:00,85.5535,85.5601,2022-08-26 06:31:25.553500000,2022-08-26 06:31:25.560100000,27187.0,36633.0,Echolocation,Eptesicus serotinus,0.353,0.637,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
1,2022-08-26 06:30:00,85.6535,85.6609,2022-08-26 06:31:25.653500000,2022-08-26 06:31:25.660900000,28046.0,36514.0,Echolocation,Eptesicus serotinus,0.302,0.545,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
2,2022-08-26 06:30:00,85.8345,85.8419,2022-08-26 06:31:25.834500000,2022-08-26 06:31:25.841900000,25468.0,34080.0,Echolocation,Eptesicus serotinus,0.326,0.565,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
3,2022-08-26 06:30:00,85.9745,85.982,2022-08-26 06:31:25.974500000,2022-08-26 06:31:25.982000000,24609.0,33155.0,Echolocation,Eptesicus serotinus,0.286,0.541,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220826_063000.WAV,recover-20220828,UBNA_007,Telephone Field
