,ref_time,start_time_wrt_ref,end_time_wrt_ref,call_start_time,call_end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
313,2022-08-27 03:36:00,8.0545,8.065699999,2022-08-27 03:36:08.054500000,2022-08-27 03:36:08.065699999,27187.0,33779.0,Echolocation,Eptesicus serotinus,0.311,0.55,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
314,2022-08-27 03:36:00,8.2955,8.3061,2022-08-27 03:36:08.295500000,2022-08-27 03:36:08.306100000,27187.0,34344.0,Echolocation,Eptesicus serotinus,0.34,0.669,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
315,2022-08-27 03:36:00,8.4325,8.4444,2022-08-27 03:36:08.432500000,2022-08-27 03:36:08.444400000,27187.0,35715.0,Echolocation,Eptesicus serotinus,0.383,0.621,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
316,2022-08-27 03:36:00,8.5385,8.5488,2022-08-27 03:36:08.538500000,2022-08-27 03:36:08.548800000,28046.0,42386.0,Echolocation,Eptesicus serotinus,0.333,0.592,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
317,2022-08-27 03:36:00,8.6555,8.6659,2022-08-27 03:36:08.655500000,2022-08-27 03:36:08.665900000,28046.0,39746.0,Echolocation,Eptesicus serotinus,0.296,0.633,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
320,2022-08-27 03:36:00,8.8755,8.8871,2022-08-27 03:36:08.875500000,2022-08-27 03:36:08.887100000,27187.0,36107.0,Echolocation,Eptesicus serotinus,0.397,0.516,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
323,2022-08-27 03:36:00,9.1465,9.1549,2022-08-27 03:36:09.146500000,2022-08-27 03:36:09.154900000,28906.0,37078.0,Echolocation,Eptesicus serotinus,0.369,0.561,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
325,2022-08-27 03:36:00,9.2205,9.2273,2022-08-27 03:36:09.220500000,2022-08-27 03:36:09.227300000,28046.0,39447.0,Echolocation,Eptesicus serotinus,0.467,0.565,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
326,2022-08-27 03:36:00,10.0615,10.0691,2022-08-27 03:36:10.061500000,2022-08-27 03:36:10.069100000,28906.0,36175.0,Echolocation,Eptesicus serotinus,0.296,0.551,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
920,2022-08-27 03:42:00,32.7255,32.7345,2022-08-27 03:42:32.725500000,2022-08-27 03:42:32.734500000,29765.0,36014.0,Echolocation,Nyctalus leisleri,0.318,0.553,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
921,2022-08-27 03:42:00,32.8635,32.8704,2022-08-27 03:42:32.863500000,2022-08-27 03:42:32.870400000,29765.0,36543.0,Echolocation,Nyctalus leisleri,0.582,0.714,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
922,2022-08-27 03:42:00,32.9285,32.9366,2022-08-27 03:42:32.928500000,2022-08-27 03:42:32.936600000,29765.0,36237.0,Echolocation,Nyctalus leisleri,0.294,0.566,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
923,2022-08-27 03:42:00,32.9995,33.0061,2022-08-27 03:42:32.999500000,2022-08-27 03:42:33.006100000,29765.0,36594.0,Echolocation,Nyctalus leisleri,0.399,0.612,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
924,2022-08-27 03:42:00,33.0845,33.0932,2022-08-27 03:42:33.084500000,2022-08-27 03:42:33.093200000,29765.0,36786.0,Echolocation,Nyctalus leisleri,0.409,0.641,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
925,2022-08-27 03:42:00,33.2845,33.2917,2022-08-27 03:42:33.284500000,2022-08-27 03:42:33.291700000,28906.0,36793.0,Echolocation,Eptesicus serotinus,0.268,0.571,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
926,2022-08-27 03:42:00,33.4405,33.4471,2022-08-27 03:42:33.440500000,2022-08-27 03:42:33.447100000,30625.0,37236.0,Echolocation,Nyctalus leisleri,0.371,0.615,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
927,2022-08-27 03:42:00,33.5965,33.6043,2022-08-27 03:42:33.596500000,2022-08-27 03:42:33.604300000,28906.0,37403.0,Echolocation,Nyctalus leisleri,0.301,0.596,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
928,2022-08-27 03:42:00,33.6965,33.7034,2022-08-27 03:42:33.696500000,2022-08-27 03:42:33.703400000,30625.0,37775.0,Echolocation,Nyctalus leisleri,0.382,0.598,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
929,2022-08-27 03:42:00,33.7795,33.786,2022-08-27 03:42:33.779500000,2022-08-27 03:42:33.786000000,29765.0,37506.0,Echolocation,Nyctalus leisleri,0.454,0.659,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
930,2022-08-27 03:42:00,33.8885,33.895,2022-08-27 03:42:33.888500000,2022-08-27 03:42:33.895000000,30625.0,38462.0,Echolocation,Nyctalus leisleri,0.541,0.708,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
931,2022-08-27 03:42:00,34.0345,34.0433,2022-08-27 03:42:34.034500000,2022-08-27 03:42:34.043300000,28046.0,41644.0,Echolocation,Eptesicus serotinus,0.47,0.613,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
932,2022-08-27 03:42:00,34.1675,34.1751,2022-08-27 03:42:34.167500000,2022-08-27 03:42:34.175100000,27187.0,40594.0,Echolocation,Eptesicus serotinus,0.569,0.671,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
934,2022-08-27 03:42:00,34.4365,34.4446,2022-08-27 03:42:34.436500000,2022-08-27 03:42:34.444600000,28046.0,41479.0,Echolocation,Eptesicus serotinus,0.564,0.674,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
935,2022-08-27 03:42:00,34.5695,34.577,2022-08-27 03:42:34.569500000,2022-08-27 03:42:34.577000000,28046.0,45814.0,Echolocation,Eptesicus serotinus,0.591,0.688,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
936,2022-08-27 03:42:00,34.6985,34.7078,2022-08-27 03:42:34.698500000,2022-08-27 03:42:34.707800000,28906.0,38570.0,Echolocation,Eptesicus serotinus,0.443,0.597,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
937,2022-08-27 03:42:00,34.8295,34.8368,2022-08-27 03:42:34.829500000,2022-08-27 03:42:34.836800000,28046.0,42027.0,Echolocation,Eptesicus serotinus,0.509,0.686,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
938,2022-08-27 03:42:00,34.9165,34.9237,2022-08-27 03:42:34.916500000,2022-08-27 03:42:34.923700000,28906.0,39328.0,Echolocation,Eptesicus serotinus,0.398,0.552,-1,/mnt/ubna_data_01/recover-20220828/UBNA_007/20220827_033000.WAV,recover-20220828,UBNA_007,Telephone Field
