index,index_in_file,peak_frequency,index_in_summary,input_file_dt,freq_group,ref_time,call_start_time,call_end_time,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
0,372,31680.0,373,2022-06-15 04:30:00,HF,2022-06-15 04:43:09.327500000,2022-06-15 04:43:09.327500000,2022-06-15 04:43:09.334800000,789.3275,789.3348,28046.0,47777.0,Echolocation,Eptesicus serotinus,0.365,0.723,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
1,373,33600.0,374,2022-06-15 04:30:00,HF,2022-06-15 04:43:09.403500000,2022-06-15 04:43:09.403500000,2022-06-15 04:43:09.409400000,789.4035,789.4094,28046.0,48337.0,Echolocation,Eptesicus serotinus,0.493,0.671,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
2,376,27840.0,377,2022-06-15 04:30:00,HF,2022-06-15 04:43:10.425500000,2022-06-15 04:43:10.425500000,2022-06-15 04:43:10.435100000,790.4255,790.4351,26328.0,46437.0,Echolocation,Eptesicus serotinus,0.561,0.696,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
3,377,29760.0,378,2022-06-15 04:30:00,HF,2022-06-15 04:43:10.565500000,2022-06-15 04:43:10.565500000,2022-06-15 04:43:10.573500000,790.5655,790.5735,27187.0,47151.0,Echolocation,Eptesicus serotinus,0.569,0.735,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
4,380,29760.0,381,2022-06-15 04:30:00,HF,2022-06-15 04:43:10.957500000,2022-06-15 04:43:10.957500000,2022-06-15 04:43:10.966000000,790.9575,790.966,27187.0,47882.0,Echolocation,Eptesicus serotinus,0.534,0.704,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
5,381,30720.0,382,2022-06-15 04:30:00,HF,2022-06-15 04:43:11.086500000,2022-06-15 04:43:11.086500000,2022-06-15 04:43:11.094100000,791.0865,791.0941,27187.0,47770.0,Echolocation,Eptesicus serotinus,0.573,0.685,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
6,383,31680.0,384,2022-06-15 04:30:00,HF,2022-06-15 04:43:11.334500000,2022-06-15 04:43:11.334500000,2022-06-15 04:43:11.343800000,791.3345,791.3438,28046.0,46211.0,Echolocation,Eptesicus serotinus,0.474,0.58,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
7,385,31680.0,386,2022-06-15 04:30:00,HF,2022-06-15 04:43:11.573500000,2022-06-15 04:43:11.573500000,2022-06-15 04:43:11.580300000,791.5735,791.5803,27187.0,49983.0,Echolocation,Eptesicus serotinus,0.632,0.731,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
8,575,28800.0,576,2022-06-15 04:30:00,HF,2022-06-15 04:46:03.218500000,2022-06-15 04:46:03.218500000,2022-06-15 04:46:03.227000000,963.2185,963.227,27187.0,46999.0,Echolocation,Eptesicus serotinus,0.511,0.673,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
9,622,28800.0,623,2022-06-15 04:30:00,HF,2022-06-15 04:46:19.118500000,2022-06-15 04:46:19.118500000,2022-06-15 04:46:19.126800000,979.1185,979.1268,28046.0,46609.0,Echolocation,Eptesicus serotinus,0.534,0.702,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
10,794,29760.0,795,2022-06-15 04:30:00,HF,2022-06-15 04:47:26.692500000,2022-06-15 04:47:26.692500000,2022-06-15 04:47:26.699900000,1046.6925,1046.6999,26328.0,48104.0,Echolocation,Eptesicus serotinus,0.579,0.713,-1,/mnt/ubna_data_01/recover-20220616_unit2/20220615_043000.WAV,Foliage,recover-20220616_unit2,10,
