start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card,File Duration
0.0015,0.0102,22031,30253,Nyctalus leisleri,0.01,0.03,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.0015,0.0367,68437,80670,Rhinolophus ferrumequinum,0.037,0.037,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.0095,0.0537,68437,83178,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.0465,0.0839,68437,81896,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.0575,0.0677,26328,32940,Eptesicus serotinus,0.009,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.0675,0.1029,68437,81866,Rhinolophus ferrumequinum,0.026,0.026,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.0815,0.1214,68437,82920,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.0915,0.1038,22031,26281,Nyctalus leisleri,0.015,0.029,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.1345,0.1697,68437,80582,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.1515,0.1897,68437,81893,Rhinolophus ferrumequinum,0.022,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.1655,0.1736,28906,38997,Eptesicus serotinus,0.007,0.02,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.1895,0.2332,68437,83459,Rhinolophus ferrumequinum,0.043,0.043,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.2205,0.2572,68437,81685,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.2585,0.2996,68437,82818,Rhinolophus ferrumequinum,0.027,0.027,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.3075,0.3416,68437,81531,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.3085,0.3156,25468,39274,Plecotus austriacus,0.009,0.032,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.3295,0.3702,68437,83179,Rhinolophus ferrumequinum,0.042,0.042,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.3445,0.3794,68437,80835,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.3675,0.4085,68437,82943,Rhinolophus ferrumequinum,0.028,0.028,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.3675,0.3781,23750,30910,Nyctalus leisleri,0.008,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
0.3755,0.3824,23750,32380,Plecotus austriacus,0.012,0.025,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220912/UBNA_007/20220909_063000.WAV,Telephone Field,recover-20220912,007,1795
