INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,234.30426,0.001376,44761.191,46526.48,50641.023,2022-10-01,03:03:54.304,3,2022-09-30,15:03:54.304,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,236.526337,0.001039,44994.945,46191.828,47919.656,2022-10-01,03:03:56.526,3,2022-09-30,15:03:56.526,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,236.796249,0.001291,47338.938,49581.824,54054.055,2022-10-01,03:03:56.795,3,2022-09-30,15:03:56.795,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,236.962952,0.001328,50665.383,54218.121,57983.195,2022-10-01,03:03:56.962,3,2022-09-30,15:03:56.962,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,237.142548,0.001545,45548.656,46614.676,50641.023,2022-10-01,03:03:57.142,3,2022-09-30,15:03:57.142,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,237.279968,0.004148,44200.242,48219.051,56338.027,2022-10-01,03:03:57.279,3,2022-09-30,15:03:57.279,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,237.355942,0.002386,50957.48,55313.145,63089.918,2022-10-01,03:03:57.354,3,2022-09-30,15:03:57.354,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,237.483765,0.001487,50316.453,53793.582,57971.016,2022-10-01,03:03:57.482,3,2022-09-30,15:03:57.482,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,237.560791,0.001617,47117.516,51960.461,56382.766,2022-10-01,03:03:57.560,3,2022-09-30,15:03:57.560,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,237.638153,0.001531,48192.77,52243.383,55946.789,2022-10-01,03:03:57.637,3,2022-09-30,15:03:57.637,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,238.200104,0.001085,46256.688,47943.465,51956.812,2022-10-01,03:03:58.200,3,2022-09-30,15:03:58.200,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,238.275116,0.001016,45787.547,47233.938,49096.383,2022-10-01,03:03:58.274,3,2022-09-30,15:03:58.274,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,238.930267,0.002992,45199.184,48120.609,55175.039,2022-10-01,03:03:58.929,3,2022-09-30,15:03:58.929,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,245.313675,0.001049,49691.359,53387.52,57983.195,2022-10-01,02:34:05.312,2,2022-09-30,14:34:05.312,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,245.509796,0.002761,47905.906,53602.938,64036.887,2022-10-01,02:34:05.509,2,2022-09-30,14:34:05.509,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,245.615723,0.001119,48500.883,50046.492,53713.047,2022-10-01,02:34:05.615,2,2022-09-30,14:34:05.615,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,245.79747,0.00168,45983.086,47616.426,51956.812,2022-10-01,02:34:05.796,2,2022-09-30,14:34:05.796,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,246.746475,0.00343,45727.727,51315.242,62515.262,2022-10-01,02:34:06.746,2,2022-09-30,14:34:06.746,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,246.852036,0.001281,46244.32,46840.078,47905.906,2022-10-01,02:34:06.852,2,2022-09-30,14:34:06.852,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,246.940781,0.003558,44200.242,50593.195,61072.262,2022-10-01,02:34:06.940,2,2022-09-30,14:34:06.940,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,247.144943,0.003342,44493.883,49072.977,57983.195,2022-10-01,02:34:07.144,2,2022-09-30,14:34:07.144,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,247.721329,0.001023,46511.629,46919.305,48220.77,2022-10-01,02:34:07.721,2,2022-09-30,14:34:07.721,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,247.920654,0.001045,45199.184,45931.809,47919.656,2022-10-01,02:34:07.919,2,2022-09-30,14:34:07.919,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,250.907333,0.001258,42791.762,44501.152,46517.918,2022-10-01,02:34:10.907,2,2022-09-30,14:34:10.907,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_023000.WAV,0,251.003082,0.001364,42558.008,43986.691,46785.227,2022-10-01,02:34:11.003,2,2022-09-30,14:34:11.003,14,nocluster,0,,0,,0,1,,,,,,nvs1Y4au8OGTCVfU8AXEkw==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,244.483856,0.001058,50957.48,52937.801,56349.203,2022-10-01,03:04:04.482,3,2022-09-30,15:04:04.482,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
/mnt,ubna_data_02_mir/recover-20221003/UBNA_007,20221001_030000.WAV,0,244.668533,0.001213,51632.242,52767.242,55566.273,2022-10-01,03:04:04.668,3,2022-09-30,15:04:04.668,15,nocluster,0,,0,,0,1,,,,,,YJNSCUTR17A/9J+BeGhsrQ==
