start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card,File Duration
0.0015,0.0111,27187,34467,Eptesicus serotinus,0.01,0.031,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.0015,0.032,68437,78862,Rhinolophus ferrumequinum,0.024,0.025,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.0015,0.0131,21171,25707,Nyctalus leisleri,0.025,0.042,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.0515,0.0608,28906,38870,Eptesicus serotinus,0.011,0.027,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.0615,0.0755,22890,27626,Nyctalus leisleri,0.017,0.03,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.0725,0.1148,68437,82775,Rhinolophus ferrumequinum,0.028,0.028,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.1055,0.1435,68437,81885,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.1155,0.1536,68437,82851,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.1405,0.1764,68437,80597,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.1655,0.1728,23750,34648,Plecotus austriacus,0.008,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.1765,0.2127,68437,81604,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.1815,0.2186,68437,82061,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.1885,0.2255,68437,81981,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.2475,0.2551,22890,31946,Plecotus austriacus,0.01,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.2625,0.2993,68437,80990,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.2715,0.2799,30625,40761,Myotis daubentonii,0.006,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.3165,0.3491,68437,80441,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.3255,0.3605,68437,81145,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.3555,0.3658,22031,26163,Nyctalus leisleri,0.012,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.3735,0.4109,68437,81495,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.4045,0.4136,47812,51538,Pipistrellus pipistrellus,0.026,0.027,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.4135,0.4254,22890,27680,Nyctalus leisleri,0.013,0.026,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.4375,0.4475,23750,29987,Nyctalus leisleri,0.01,0.024,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.4555,0.4938,68437,82634,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.4725,0.512,68437,82569,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.4875,0.5243,68437,82258,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.5115,0.5442,68437,80926,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.5205,0.5305,25468,32793,Eptesicus serotinus,0.007,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.5575,0.5988,68437,82985,Rhinolophus ferrumequinum,0.026,0.026,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.5795,0.5849,24609,36511,Plecotus austriacus,0.025,0.045,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.6075,0.6469,68437,82654,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.6145,0.6547,68437,83021,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.6165,0.6242,23750,32987,Plecotus austriacus,0.013,0.028,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.6245,0.662,68437,82381,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.6455,0.6882,68437,83201,Rhinolophus ferrumequinum,0.034,0.034,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.6945,0.7323,68437,82113,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
0.7275,0.7388,22031,26609,Nyctalus leisleri,0.011,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20221017/UBNA_007/20221017_133000.WAV,Telephone Field,recover-20221017,007,1795
