start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name,Recover Folder,SD Card,File Duration
0.0015,0.0361,68437,80262,Rhinolophus ferrumequinum,0.05,0.05,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.0015,0.0099,22890,31545,Nyctalus leisleri,0.008,0.031,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.0015,0.0097,46953,51131,Pipistrellus pipistrellus,0.019,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.0095,0.0538,68437,82857,Rhinolophus ferrumequinum,0.026,0.026,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.0295,0.0423,52109,56117,Pipistrellus pygmaeus,0.022,0.031,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.0645,0.0994,68437,80659,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.0805,0.1154,68437,81133,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.0845,0.0932,22890,30167,Plecotus austriacus,0.01,0.024,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.0865,0.1238,68437,81924,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.1325,0.1742,68437,82490,Rhinolophus ferrumequinum,0.026,0.026,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.1495,0.1869,68437,81919,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.1605,0.1739,28906,34007,Eptesicus serotinus,0.029,0.061,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.1615,0.2006,68437,82475,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.2105,0.2209,50390,55258,Pipistrellus pipistrellus,0.017,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.2275,0.2378,49531,53377,Pipistrellus pipistrellus,0.019,0.022,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.2555,0.2639,23750,32026,Plecotus austriacus,0.009,0.024,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.2885,0.3251,68437,81556,Rhinolophus ferrumequinum,0.024,0.024,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.2975,0.304,28046,42312,Eptesicus serotinus,0.007,0.028,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.4375,0.444,23750,33941,Plecotus austriacus,0.026,0.04,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.4755,0.4825,23750,36368,Plecotus austriacus,0.018,0.035,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
0.4765,0.5087,68437,81837,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,/mnt/ubna_data_02_mir/recover-20220915/UBNA_001/20220915_050000.WAV,Telephone Field,recover-20220915,001,1795
