start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
554.6395,554.6516,38359.0,54654.0,Echolocation,Pipistrellus nathusii,0.527,0.582,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
554.8345,554.8455,40078.0,52280.0,Echolocation,Pipistrellus nathusii,0.623,0.656,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
554.9395,554.9518,39218.0,56945.0,Echolocation,Pipistrellus nathusii,0.566,0.635,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
555.0415,555.0501,40078.0,53815.0,Echolocation,Pipistrellus nathusii,0.66,0.68,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
555.1415,555.1522,39218.0,50899.0,Echolocation,Pipistrellus nathusii,0.599,0.643,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
555.2455,555.2554,40078.0,51969.0,Echolocation,Pipistrellus nathusii,0.62,0.642,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
555.3525,555.3637,37500.0,50485.0,Echolocation,Pipistrellus nathusii,0.499,0.613,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
555.5815,555.5919,40078.0,52311.0,Echolocation,Pipistrellus nathusii,0.663,0.705,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
555.6695,555.6798,37500.0,46917.0,Echolocation,Pipistrellus nathusii,0.562,0.588,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
555.8605,555.8711,38359.0,51269.0,Echolocation,Pipistrellus nathusii,0.537,0.603,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
555.9615,555.9725,38359.0,47292.0,Echolocation,Pipistrellus nathusii,0.447,0.529,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
556.0645,556.0743,38359.0,47034.0,Echolocation,Pipistrellus nathusii,0.468,0.533,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
556.5655,556.5749,38359.0,44717.0,Echolocation,Pipistrellus nathusii,0.489,0.517,-1,/mnt/ubna_data_02/recover-20221003/UBNA_010/20220930_050000.WAV,Carp Pond,recover-20221003,010
