start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name
774.9655,774.9816,24609.0,29113.0,Nyctalus leisleri,0.435,0.516,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
776.8735,776.8855,23750.0,29424.0,Nyctalus leisleri,0.43,0.523,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
777.4235,777.4393,25468.0,32572.0,Eptesicus serotinus,0.246,0.551,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
778.8105,778.8271,24609.0,30393.0,Nyctalus leisleri,0.326,0.514,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
779.4975,779.5127,24609.0,31376.0,Eptesicus serotinus,0.269,0.552,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
779.7835,779.7986,23750.0,28873.0,Nyctalus leisleri,0.407,0.559,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
780.1915,780.2068,24609.0,30207.0,Nyctalus leisleri,0.256,0.569,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
781.0215,781.0362,24609.0,29690.0,Nyctalus leisleri,0.368,0.61,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
781.7125,781.7282,24609.0,31307.0,Nyctalus leisleri,0.277,0.573,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
783.2515,783.2662,24609.0,28058.0,Nyctalus leisleri,0.529,0.615,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
1403.7785,1403.7882,46093.0,54027.0,Pipistrellus pipistrellus,0.451,0.5,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
1403.9775,1403.9855,46093.0,57335.0,Pipistrellus pipistrellus,0.488,0.559,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
1622.4805,1622.5049,18593.0,20966.0,Nyctalus noctula,0.329,0.512,-1,Echolocation,/mnt/ubna_data_01/recover-20220815/UBNA_005/20220814_080000.WAV,Carp Pond
