,ref_time,start_time_wrt_ref,end_time_wrt_ref,call_start_time,call_end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
0,2022-08-23 04:00:00,60.6165,60.6296,2022-08-23 04:01:00.616500000,2022-08-23 04:01:00.629600000,24609.0,29250.0,Echolocation,Nyctalus leisleri,0.379,0.543,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
1,2022-08-23 04:00:00,71.0935,71.1068,2022-08-23 04:01:11.093500000,2022-08-23 04:01:11.106800000,24609.0,29107.0,Echolocation,Nyctalus leisleri,0.299,0.514,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
2,2022-08-23 04:00:00,71.6195,71.6352,2022-08-23 04:01:11.619500000,2022-08-23 04:01:11.635200000,24609.0,29652.0,Echolocation,Nyctalus leisleri,0.454,0.603,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
3,2022-08-23 04:00:00,72.4345,72.449,2022-08-23 04:01:12.434500000,2022-08-23 04:01:12.449000000,24609.0,34939.0,Echolocation,Eptesicus serotinus,0.406,0.631,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
4,2022-08-23 04:00:00,72.7065,72.7182,2022-08-23 04:01:12.706500000,2022-08-23 04:01:12.718200000,25468.0,34441.0,Echolocation,Eptesicus serotinus,0.364,0.573,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
5,2022-08-23 04:00:00,73.0335,73.0474,2022-08-23 04:01:13.033500000,2022-08-23 04:01:13.047400000,23750.0,31988.0,Echolocation,Eptesicus serotinus,0.369,0.555,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
6,2022-08-23 04:00:00,73.1835,73.1939,2022-08-23 04:01:13.183500000,2022-08-23 04:01:13.193900000,25468.0,31622.0,Echolocation,Nyctalus leisleri,0.24,0.517,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
7,2022-08-23 04:00:00,77.6365,77.6494,2022-08-23 04:01:17.636500000,2022-08-23 04:01:17.649400000,25468.0,32769.0,Echolocation,Eptesicus serotinus,0.29,0.523,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
8,2022-08-23 04:00:00,78.1415,78.1534,2022-08-23 04:01:18.141500000,2022-08-23 04:01:18.153400000,24609.0,30439.0,Echolocation,Nyctalus leisleri,0.279,0.529,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
9,2022-08-23 04:00:00,78.4015,78.4145,2022-08-23 04:01:18.401500000,2022-08-23 04:01:18.414500000,24609.0,37474.0,Echolocation,Eptesicus serotinus,0.504,0.678,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
10,2022-08-23 04:00:00,78.9515,78.9634,2022-08-23 04:01:18.951500000,2022-08-23 04:01:18.963400000,24609.0,34497.0,Echolocation,Eptesicus serotinus,0.394,0.646,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
11,2022-08-23 04:00:00,79.2045,79.2171,2022-08-23 04:01:19.204500000,2022-08-23 04:01:19.217100000,24609.0,34043.0,Echolocation,Eptesicus serotinus,0.296,0.582,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
12,2022-08-23 04:00:00,232.9635,232.9817,2022-08-23 04:03:52.963500000,2022-08-23 04:03:52.981700000,22890.0,28259.0,Echolocation,Nyctalus leisleri,0.312,0.536,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
13,2022-08-23 04:00:00,233.2635,233.281,2022-08-23 04:03:53.263500000,2022-08-23 04:03:53.281000000,23750.0,26680.0,Echolocation,Nyctalus leisleri,0.499,0.545,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
14,2022-08-23 04:00:00,236.1585,236.1753,2022-08-23 04:03:56.158500000,2022-08-23 04:03:56.175300000,23750.0,31049.0,Echolocation,Eptesicus serotinus,0.297,0.548,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
15,2022-08-23 04:00:00,236.3875,236.4047,2022-08-23 04:03:56.387500000,2022-08-23 04:03:56.404700000,23750.0,31372.0,Echolocation,Eptesicus serotinus,0.26,0.513,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
16,2022-08-23 04:00:00,236.7785,236.7938,2022-08-23 04:03:56.778500000,2022-08-23 04:03:56.793800000,24609.0,33637.0,Echolocation,Eptesicus serotinus,0.296,0.507,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
17,2022-08-23 04:00:00,237.0415,237.0513,2022-08-23 04:03:57.041500000,2022-08-23 04:03:57.051300000,26328.0,36309.0,Echolocation,Eptesicus serotinus,0.405,0.659,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
18,2022-08-23 04:00:00,237.7195,237.734,2022-08-23 04:03:57.719500000,2022-08-23 04:03:57.734000000,23750.0,31313.0,Echolocation,Eptesicus serotinus,0.285,0.649,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
19,2022-08-23 04:00:00,238.2925,238.3097,2022-08-23 04:03:58.292500000,2022-08-23 04:03:58.309700000,23750.0,29027.0,Echolocation,Nyctalus leisleri,0.359,0.535,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
20,2022-08-23 04:00:00,238.6065,238.6248,2022-08-23 04:03:58.606500000,2022-08-23 04:03:58.624800000,22890.0,27590.0,Echolocation,Nyctalus leisleri,0.266,0.511,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
21,2022-08-23 04:00:00,238.9915,239.0086,2022-08-23 04:03:58.991500000,2022-08-23 04:03:59.008600000,22890.0,27159.0,Echolocation,Nyctalus leisleri,0.541,0.654,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
22,2022-08-23 04:00:00,239.5545,239.5674,2022-08-23 04:03:59.554500000,2022-08-23 04:03:59.567400000,25468.0,33078.0,Echolocation,Nyctalus leisleri,0.291,0.561,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
23,2022-08-23 04:00:00,239.6635,239.6736,2022-08-23 04:03:59.663500000,2022-08-23 04:03:59.673600000,25468.0,32082.0,Echolocation,Nyctalus leisleri,0.389,0.649,-1,/mnt/ubna_data_01/recover-20220825/UBNA_008/20220823_040000.WAV,recover-20220825,UBNA_008,Central Pond
