start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
456.4965,456.51,23750.0,29914.0,Echolocation,Nyctalus leisleri,0.301,0.607,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
456.7695,456.7851,23750.0,29105.0,Echolocation,Nyctalus leisleri,0.451,0.57,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
457.2805,457.2967,23750.0,29343.0,Echolocation,Nyctalus leisleri,0.332,0.517,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
457.4825,457.4991,23750.0,29231.0,Echolocation,Nyctalus leisleri,0.512,0.567,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
457.6725,457.6885,23750.0,28668.0,Echolocation,Nyctalus leisleri,0.438,0.525,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
458.4435,458.459,23750.0,28794.0,Echolocation,Nyctalus leisleri,0.491,0.631,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
458.5865,458.602,24609.0,34418.0,Echolocation,Eptesicus serotinus,0.386,0.575,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
459.7365,459.7511,23750.0,27829.0,Echolocation,Nyctalus leisleri,0.469,0.616,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
460.8345,460.8507,23750.0,28067.0,Echolocation,Nyctalus leisleri,0.453,0.558,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
510.0895,510.1017,25468.0,30736.0,Echolocation,Nyctalus leisleri,0.309,0.513,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
513.2035,513.216,25468.0,30959.0,Echolocation,Nyctalus leisleri,0.32,0.539,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
513.6295,513.643,25468.0,33573.0,Echolocation,Nyctalus leisleri,0.318,0.685,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
514.0055,514.0179,24609.0,30385.0,Echolocation,Nyctalus leisleri,0.374,0.553,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
514.2705,514.2828,24609.0,30838.0,Echolocation,Nyctalus leisleri,0.377,0.595,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
514.5315,514.5447,25468.0,30653.0,Echolocation,Nyctalus leisleri,0.395,0.579,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
514.9185,514.9307,24609.0,30330.0,Echolocation,Nyctalus leisleri,0.484,0.678,-1,/mnt/ubna_data_02/recover-20220919/UBNA_009/20220919_030000.WAV,Central Pond,recover-20220919,009
