start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
57.8335,57.8434,27187.0,33836.0,Echolocation,Nyctalus leisleri,0.376,0.684,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
58.060500000000005,58.071799999999996,26328.0,33290.0,Echolocation,Eptesicus serotinus,0.259,0.545,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
58.1845,58.195,26328.0,33692.0,Echolocation,Nyctalus leisleri,0.281,0.605,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
65.0515,65.0603,28046.0,34905.0,Echolocation,Nyctalus leisleri,0.269,0.579,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
65.2575,65.2668,27187.0,33609.0,Echolocation,Nyctalus leisleri,0.396,0.587,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
65.4765,65.4863,27187.0,33884.0,Echolocation,Nyctalus leisleri,0.337,0.595,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
65.6565,65.6657,28046.0,34478.0,Echolocation,Nyctalus leisleri,0.407,0.631,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
65.7645,65.773,27187.0,34177.0,Echolocation,Nyctalus leisleri,0.438,0.648,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
65.8665,65.8751,27187.0,34573.0,Echolocation,Nyctalus leisleri,0.435,0.694,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
65.9675,65.9784,27187.0,34675.0,Echolocation,Nyctalus leisleri,0.434,0.731,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
66.0745,66.084,27187.0,33470.0,Echolocation,Nyctalus leisleri,0.616,0.737,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
66.1815,66.1915,26328.0,33086.0,Echolocation,Nyctalus leisleri,0.551,0.702,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
66.2975,66.3074,27187.0,33658.0,Echolocation,Nyctalus leisleri,0.412,0.675,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
66.4045,66.4144,27187.0,33954.0,Echolocation,Nyctalus leisleri,0.333,0.63,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
66.5145,66.5247,27187.0,33848.0,Echolocation,Nyctalus leisleri,0.644,0.765,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
66.6265,66.6363,27187.0,33166.0,Echolocation,Nyctalus leisleri,0.514,0.673,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
66.7285,66.7391,26328.0,33122.0,Echolocation,Nyctalus leisleri,0.378,0.634,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
66.8335,66.846,27187.0,31557.0,Echolocation,Nyctalus leisleri,0.449,0.564,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
67.0445,67.055,26328.0,32904.0,Echolocation,Nyctalus leisleri,0.322,0.515,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
75.7975,75.8065,28046.0,34336.0,Echolocation,Nyctalus leisleri,0.305,0.505,-1,/mnt/ubna_data_02/recover-20221013/UBNA_003/20221011_033000.WAV,Central Pond,recover-20221013,003
