start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
55.5025,55.5175,25468.0,29177.0,Echolocation,Nyctalus leisleri,0.171,0.278,-1,/mnt/ubna_data_02_mir/recover-20220929/UBNA_002/20220927_053000.WAV,Foliage,recover-20220929,002,1795
168.20850000000002,168.2161,51250.0,57618.0,Echolocation,Pipistrellus pipistrellus,0.287,0.399,-1,/mnt/ubna_data_02_mir/recover-20220929/UBNA_002/20220927_053000.WAV,Foliage,recover-20220929,002,1795
200.45850000000002,200.4646,47812.0,54749.0,Echolocation,Pipistrellus pipistrellus,0.5,0.561,-1,/mnt/ubna_data_02_mir/recover-20220929/UBNA_002/20220927_053000.WAV,Foliage,recover-20220929,002,1795
907.3045,907.3207,45234.0,48747.0,Echolocation,Pipistrellus pipistrellus,0.163,0.204,-1,/mnt/ubna_data_02_mir/recover-20220929/UBNA_002/20220927_053000.WAV,Foliage,recover-20220929,002,1795
1022.6745,1022.7003,18593.0,21362.0,Echolocation,Nyctalus noctula,0.155,0.214,-1,/mnt/ubna_data_02_mir/recover-20220929/UBNA_002/20220927_053000.WAV,Foliage,recover-20220929,002,1795
1762.0575,1762.0781,44375.0,47754.0,Echolocation,Pipistrellus pipistrellus,0.241,0.269,-1,/mnt/ubna_data_02_mir/recover-20220929/UBNA_002/20220927_053000.WAV,Foliage,recover-20220929,002,1795
1774.9255,1774.9488,45234.0,48639.0,Echolocation,Pipistrellus pipistrellus,0.294,0.327,-1,/mnt/ubna_data_02_mir/recover-20220929/UBNA_002/20220927_053000.WAV,Foliage,recover-20220929,002,1795
1774.9785,1775.0007,44375.0,46644.0,Echolocation,Pipistrellus pipistrellus,0.205,0.233,-1,/mnt/ubna_data_02_mir/recover-20220929/UBNA_002/20220927_053000.WAV,Foliage,recover-20220929,002,1795
