start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
89.95349999999999,89.9665,40078.0,43365.0,Echolocation,Pipistrellus nathusii,0.294,0.338,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
319.3295,319.3453,40078.0,43131.0,Echolocation,Pipistrellus nathusii,0.273,0.289,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
548.7055,548.72,40078.0,42201.0,Echolocation,Pipistrellus nathusii,0.235,0.263,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
682.8225,682.8482,16015.0,19702.0,Echolocation,Nyctalus noctula,0.268,0.354,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
794.6525,794.6668,40078.0,42803.0,Echolocation,Pipistrellus nathusii,0.296,0.304,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
825.2245,825.238,22031.0,27506.0,Echolocation,Nyctalus leisleri,0.096,0.262,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
954.7225,954.7416,21171.0,24765.0,Echolocation,Nyctalus noctula,0.098,0.21,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
1024.0275,1024.0399,40078.0,43239.0,Echolocation,Pipistrellus nathusii,0.334,0.351,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
1038.4725,1038.4885,22890.0,27627.0,Echolocation,Nyctalus leisleri,0.129,0.276,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
1253.4035,1253.4171,40078.0,44153.0,Echolocation,Pipistrellus nathusii,0.393,0.412,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
1332.5375,1332.5475,27187.0,33585.0,Echolocation,Eptesicus serotinus,0.169,0.251,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
1495.3085,1495.3205,40078.0,43657.0,Echolocation,Pipistrellus nathusii,0.326,0.356,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
1542.7915,1542.8121,22890.0,26307.0,Echolocation,Nyctalus leisleri,0.275,0.318,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
1546.4525,1546.4744,22890.0,25436.0,Echolocation,Nyctalus leisleri,0.187,0.232,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
1548.7475,1548.7683,22890.0,26138.0,Echolocation,Nyctalus leisleri,0.287,0.338,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
1724.6855,1724.6986,40078.0,43069.0,Echolocation,Pipistrellus nathusii,0.253,0.262,-1,/mnt/ubna_data_01_mir/recover-20220822/UBNA_013/20220822_140000.WAV,Foliage,recover-20220822,013,1795
