start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
805.0005,805.0208,20312.0,23955.0,Echolocation,Nyctalus noctula,0.146,0.224,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1086.5635,1086.5706,46953.0,52292.0,Echolocation,Pipistrellus pipistrellus,0.537,0.566,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1086.6565,1086.6633,46093.0,55021.0,Echolocation,Pipistrellus pipistrellus,0.477,0.508,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1087.1055,1087.1188,45234.0,49760.0,Echolocation,Pipistrellus pipistrellus,0.334,0.357,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1150.8885,1150.901,26328.0,30923.0,Echolocation,Nyctalus leisleri,0.124,0.235,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1262.0145,1262.0299,25468.0,29694.0,Echolocation,Nyctalus leisleri,0.118,0.21,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1430.4285,1430.4412,35781.0,41017.0,Echolocation,Pipistrellus nathusii,0.097,0.226,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1585.7895,1585.797,46953.0,53217.0,Echolocation,Pipistrellus pipistrellus,0.332,0.34,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1586.0935,1586.1033,43515.0,51567.0,Echolocation,Pipistrellus pipistrellus,0.268,0.308,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1586.1945,1586.2022,45234.0,56141.0,Echolocation,Pipistrellus pipistrellus,0.516,0.6,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1586.2915,1586.2996,46093.0,51901.0,Echolocation,Pipistrellus pipistrellus,0.422,0.437,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1586.3615,1586.37,45234.0,58512.0,Echolocation,Pipistrellus pipistrellus,0.253,0.283,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1586.4315,1586.444,44375.0,52596.0,Echolocation,Pipistrellus pipistrellus,0.283,0.339,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
1586.4945,1586.5062,45234.0,53412.0,Echolocation,Pipistrellus pipistrellus,0.183,0.204,-1,/mnt/ubna_data_02_mir/recover-20220915/UBNA_002/20220915_070000.WAV,Foliage,recover-20220915,002,1795
