start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card,File Duration
138.8275,138.8414,22890.0,27428.0,Echolocation,Nyctalus leisleri,0.123,0.303,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
144.6415,144.6552,22890.0,27502.0,Echolocation,Nyctalus leisleri,0.102,0.223,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
146.8945,146.9133,22890.0,26202.0,Echolocation,Nyctalus leisleri,0.266,0.318,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
148.3915,148.4132,22890.0,25843.0,Echolocation,Nyctalus leisleri,0.171,0.21,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
148.7195,148.7388,22890.0,25950.0,Echolocation,Nyctalus leisleri,0.162,0.224,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
149.4895,149.5113,22890.0,25871.0,Echolocation,Nyctalus leisleri,0.157,0.207,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
188.6845,188.699,23750.0,28201.0,Echolocation,Nyctalus leisleri,0.144,0.272,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
647.4365,647.4533,23750.0,27664.0,Echolocation,Nyctalus leisleri,0.127,0.205,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
770.5025,770.5213,23750.0,26810.0,Echolocation,Nyctalus leisleri,0.281,0.319,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
999.8785,999.8943,23750.0,27869.0,Echolocation,Nyctalus leisleri,0.276,0.372,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
1109.8415,1109.8532,28906.0,34274.0,Echolocation,Eptesicus serotinus,0.108,0.201,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
1128.9455,1128.965,23750.0,28287.0,Echolocation,Nyctalus leisleri,0.248,0.344,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
1129.8055,1129.8258,21171.0,25294.0,Echolocation,Nyctalus noctula,0.102,0.215,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
1133.7695,1133.7932,21171.0,24879.0,Echolocation,Nyctalus leisleri,0.107,0.215,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
1141.3505,1141.3734,17734.0,21567.0,Echolocation,Nyctalus noctula,0.172,0.227,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
1229.2535,1229.2683,23750.0,27545.0,Echolocation,Nyctalus leisleri,0.15,0.251,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
1719.3595,1719.3703,39218.0,44037.0,Echolocation,Pipistrellus nathusii,0.202,0.232,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
1789.2755,1789.2922,12578.0,16306.0,Echolocation,Nyctalus leisleri,0.167,0.259,-1,/mnt/ubna_data_01_mir/recover-20220808/UBNA_014/20220805_143000.WAV,Foliage,recover-20220808,014,1795
