start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
239.7395,239.7696,17734.0,21352.0,Echolocation,Nyctalus noctula,0.446,0.503,-1,/mnt/ubna_data_01/recover-20220822/UBNA_013/20220821_130000.WAV,Foliage,recover-20220822,013
244.2675,244.2999,16875.0,20896.0,Echolocation,Nyctalus noctula,0.461,0.518,-1,/mnt/ubna_data_01/recover-20220822/UBNA_013/20220821_130000.WAV,Foliage,recover-20220822,013
1720.3915,1720.4251,16875.0,20482.0,Echolocation,Nyctalus noctula,0.47,0.522,-1,/mnt/ubna_data_01/recover-20220822/UBNA_013/20220821_130000.WAV,Foliage,recover-20220822,013
1751.9525,1751.9781,16875.0,20608.0,Echolocation,Nyctalus noctula,0.399,0.52,-1,/mnt/ubna_data_01/recover-20220822/UBNA_013/20220821_130000.WAV,Foliage,recover-20220822,013
