,Date_and_Time_UTC,Number_of_Detections (1800e1800),Number_of_Detections (300e1800),Number_of_Detections (60e360)
0,2022-08-23 03:00:00,0,0,0
1,2022-08-23 03:30:00,5,0,0
2,2022-08-23 04:00:00,63,0,25
3,2022-08-23 04:30:00,5,0,0
4,2022-08-23 05:00:00,386,0,23
5,2022-08-23 05:30:00,251,91,67
6,2022-08-23 06:00:00,728,212,171
7,2022-08-23 06:30:00,181,70,32
8,2022-08-23 07:00:00,232,35,13
9,2022-08-23 07:30:00,28,0,0
10,2022-08-23 08:00:00,38,0,38
11,2022-08-23 08:30:00,91,43,0
12,2022-08-23 09:00:00,151,24,72
13,2022-08-23 09:30:00,63,0,0
14,2022-08-23 10:00:00,25,0,25
15,2022-08-23 10:30:00,19,0,0
16,2022-08-23 11:00:00,3,0,0
17,2022-08-23 11:30:00,3,0,0
18,2022-08-23 12:00:00,31,1,0
19,2022-08-23 12:30:00,0,0,0
20,2022-08-23 13:00:00,0,0,0
21,2022-08-24 03:00:00,0,0,0
22,2022-08-24 03:30:00,181,0,34
23,2022-08-24 04:00:00,74,0,8
24,2022-08-24 04:30:00,339,49,26
25,2022-08-24 05:00:00,538,63,33
26,2022-08-24 05:30:00,508,8,34
27,2022-08-24 06:00:00,3085,307,683
28,2022-08-24 06:30:00,2060,140,478
29,2022-08-24 07:00:00,690,102,92
30,2022-08-24 07:30:00,247,32,43
31,2022-08-24 08:00:00,65,10,0
32,2022-08-24 08:30:00,127,0,0
33,2022-08-24 09:00:00,10,0,0
34,2022-08-24 09:30:00,8,0,8
35,2022-08-24 10:00:00,32,0,0
36,2022-08-24 10:30:00,0,0,0
37,2022-08-24 11:00:00,37,32,2
38,2022-08-24 11:30:00,47,0,0
39,2022-08-24 12:00:00,106,0,8
40,2022-08-24 12:30:00,2398,694,308
41,2022-08-24 13:00:00,0,0,0
42,2022-08-25 03:00:00,0,0,0
43,2022-08-25 03:30:00,149,0,0
44,2022-08-25 04:00:00,41,0,0
45,2022-08-25 04:30:00,0,0,0
46,2022-08-25 05:00:00,72,0,37
47,2022-08-25 05:30:00,127,94,3
48,2022-08-25 06:00:00,431,142,153
49,2022-08-25 06:30:00,259,153,21
50,2022-08-25 07:00:00,54,0,0
51,2022-08-25 07:30:00,60,0,0
52,2022-08-25 08:00:00,150,0,0
53,2022-08-25 08:30:00,186,33,38
54,2022-08-25 09:00:00,83,33,0
55,2022-08-25 09:30:00,103,29,2
56,2022-08-25 10:00:00,4,1,1
57,2022-08-25 10:30:00,33,2,31
