,Date_and_Time_UTC,Number_of_Detections (1800e1800),Number_of_Detections (300e1800),Number_of_Detections (60e360)
0,2022-08-23 03:00:00,0,0,0
1,2022-08-23 03:30:00,95,0,0
2,2022-08-23 04:00:00,508,81,136
3,2022-08-23 04:30:00,358,68,60
4,2022-08-23 05:00:00,426,0,23
5,2022-08-23 05:30:00,280,103,83
6,2022-08-23 06:00:00,775,217,178
7,2022-08-23 06:30:00,267,70,32
8,2022-08-23 07:00:00,233,35,13
9,2022-08-23 07:30:00,50,10,0
10,2022-08-23 08:00:00,44,0,38
11,2022-08-23 08:30:00,116,43,0
12,2022-08-23 09:00:00,151,24,72
13,2022-08-23 09:30:00,63,0,0
14,2022-08-23 10:00:00,27,0,26
15,2022-08-23 10:30:00,20,0,0
16,2022-08-23 11:00:00,3,0,0
17,2022-08-23 11:30:00,3,0,0
18,2022-08-23 12:00:00,49,19,0
19,2022-08-23 12:30:00,0,0,0
20,2022-08-23 13:00:00,2,1,0
21,2022-08-24 03:00:00,0,0,0
22,2022-08-24 03:30:00,326,0,42
23,2022-08-24 04:00:00,203,59,23
24,2022-08-24 04:30:00,387,68,26
25,2022-08-24 05:00:00,633,104,39
26,2022-08-24 05:30:00,524,9,35
27,2022-08-24 06:00:00,3123,318,702
28,2022-08-24 06:30:00,2072,144,478
29,2022-08-24 07:00:00,695,103,92
30,2022-08-24 07:30:00,255,32,43
31,2022-08-24 08:00:00,67,10,0
32,2022-08-24 08:30:00,143,0,0
33,2022-08-24 09:00:00,36,0,0
34,2022-08-24 09:30:00,8,0,8
35,2022-08-24 10:00:00,32,0,0
36,2022-08-24 10:30:00,0,0,0
37,2022-08-24 11:00:00,39,32,2
38,2022-08-24 11:30:00,47,0,0
39,2022-08-24 12:00:00,106,0,8
40,2022-08-24 12:30:00,2543,694,308
41,2022-08-24 13:00:00,0,0,0
42,2022-08-25 03:00:00,1,0,0
43,2022-08-25 03:30:00,274,0,43
44,2022-08-25 04:00:00,191,58,70
45,2022-08-25 04:30:00,35,25,18
46,2022-08-25 05:00:00,72,0,37
47,2022-08-25 05:30:00,131,94,3
48,2022-08-25 06:00:00,479,150,165
49,2022-08-25 06:30:00,279,156,21
50,2022-08-25 07:00:00,62,0,0
51,2022-08-25 07:30:00,66,0,0
52,2022-08-25 08:00:00,175,24,0
53,2022-08-25 08:30:00,274,34,38
54,2022-08-25 09:00:00,129,33,8
55,2022-08-25 09:30:00,135,37,2
56,2022-08-25 10:00:00,23,8,7
57,2022-08-25 10:30:00,114,31,61
58,2022-08-25 11:00:00,167,0,17
59,2022-08-25 11:30:00,133,79,37
60,2022-08-25 12:00:00,310,37,28
61,2022-08-25 12:30:00,365,20,0
62,2022-08-25 13:00:00,0,0,0
63,2022-08-26 03:00:00,0,0,0
64,2022-08-26 03:30:00,418,0,5
65,2022-08-26 04:00:00,677,133,113
66,2022-08-26 04:30:00,4900,388,1016
67,2022-08-26 05:00:00,1367,84,211
68,2022-08-26 05:30:00,3178,844,371
69,2022-08-26 06:00:00,3670,1007,732
70,2022-08-26 06:30:00,2631,1024,644
71,2022-08-26 07:00:00,1597,252,424
72,2022-08-26 07:30:00,1060,250,153
73,2022-08-26 08:00:00,638,114,128
74,2022-08-26 08:30:00,897,14,97
75,2022-08-26 09:00:00,51,0,0
76,2022-08-26 09:30:00,2534,0,374
77,2022-08-26 10:00:00,6988,439,1147
78,2022-08-26 10:30:00,57,0,0
79,2022-08-26 11:00:00,116,0,0
80,2022-08-26 11:30:00,94,2,13
81,2022-08-26 12:00:00,13,0,13
82,2022-08-26 12:30:00,0,0,0
83,2022-08-26 13:00:00,0,0,0
84,2022-08-27 03:00:00,0,0,0
85,2022-08-27 03:30:00,895,0,106
86,2022-08-27 04:00:00,1678,280,241
87,2022-08-27 04:30:00,5993,1173,1198
88,2022-08-27 05:00:00,814,15,186
89,2022-08-27 05:30:00,492,17,82
90,2022-08-27 06:00:00,2533,181,354
91,2022-08-27 06:30:00,1223,261,266
92,2022-08-27 07:00:00,1144,291,170
93,2022-08-27 07:30:00,282,113,31
94,2022-08-27 08:00:00,101,16,1
95,2022-08-27 08:30:00,157,79,60
96,2022-08-27 09:00:00,244,104,77
97,2022-08-27 09:30:00,603,108,100
98,2022-08-27 10:00:00,83,13,6
99,2022-08-27 10:30:00,238,55,63
100,2022-08-27 11:00:00,125,51,2
101,2022-08-27 11:30:00,45,17,0
102,2022-08-27 12:00:00,10,0,0
103,2022-08-27 12:30:00,6,0,0
104,2022-08-27 13:00:00,0,0,0
105,2022-08-28 03:00:00,0,0,0
106,2022-08-28 03:30:00,1693,0,243
107,2022-08-28 04:00:00,1051,345,170
108,2022-08-28 04:30:00,1138,225,262
109,2022-08-28 05:00:00,87,30,68
110,2022-08-28 05:30:00,71,15,1
111,2022-08-28 06:00:00,765,109,197
112,2022-08-28 06:30:00,642,85,169
113,2022-08-28 07:00:00,1684,320,258
114,2022-08-28 07:30:00,2073,371,431
115,2022-08-28 08:00:00,1160,380,273
116,2022-08-28 08:30:00,107,63,8
117,2022-08-28 09:00:00,678,0,212
