,Date_and_Time_UTC,Number_of_Detections (1800e1800),Number_of_Detections (300e1800),Number_of_Detections (60e360)
0,2022-08-23 03:00:00,0,0,0
1,2022-08-23 03:30:00,90,0,0
2,2022-08-23 04:00:00,443,80,110
3,2022-08-23 04:30:00,358,68,60
4,2022-08-23 05:00:00,84,0,7
5,2022-08-23 05:30:00,49,29,23
6,2022-08-23 06:00:00,74,10,16
7,2022-08-23 06:30:00,91,5,2
8,2022-08-23 07:00:00,3,1,0
9,2022-08-23 07:30:00,22,10,0
10,2022-08-23 08:00:00,6,0,0
11,2022-08-23 08:30:00,2,1,0
12,2022-08-23 09:00:00,10,1,1
13,2022-08-23 09:30:00,10,0,0
14,2022-08-23 10:00:00,2,0,1
15,2022-08-23 10:30:00,1,0,0
16,2022-08-23 11:00:00,1,0,0
17,2022-08-23 11:30:00,1,0,0
18,2022-08-23 12:00:00,20,18,0
19,2022-08-23 12:30:00,0,0,0
20,2022-08-23 13:00:00,2,1,0
21,2022-08-24 03:00:00,0,0,0
22,2022-08-24 03:30:00,153,0,8
23,2022-08-24 04:00:00,140,59,19
24,2022-08-24 04:30:00,75,24,1
25,2022-08-24 05:00:00,110,37,10
26,2022-08-24 05:30:00,38,0,1
27,2022-08-24 06:00:00,107,41,48
28,2022-08-24 06:30:00,74,11,9
29,2022-08-24 07:00:00,30,8,2
30,2022-08-24 07:30:00,8,1,2
31,2022-08-24 08:00:00,8,0,0
32,2022-08-24 08:30:00,13,0,0
33,2022-08-24 09:00:00,31,0,0
34,2022-08-24 09:30:00,1,0,1
35,2022-08-24 10:00:00,0,0,0
36,2022-08-24 10:30:00,0,0,0
37,2022-08-24 11:00:00,4,0,1
38,2022-08-24 11:30:00,0,0,0
39,2022-08-24 12:00:00,11,0,0
40,2022-08-24 12:30:00,132,0,0
41,2022-08-24 13:00:00,0,0,0
42,2022-08-25 03:00:00,1,0,0
43,2022-08-25 03:30:00,105,0,43
44,2022-08-25 04:00:00,150,58,70
45,2022-08-25 04:30:00,35,25,18
46,2022-08-25 05:00:00,4,0,0
47,2022-08-25 05:30:00,12,3,1
48,2022-08-25 06:00:00,135,40,37
49,2022-08-25 06:30:00,60,22,5
50,2022-08-25 07:00:00,11,0,0
51,2022-08-25 07:30:00,8,0,0
52,2022-08-25 08:00:00,41,24,0
53,2022-08-25 08:30:00,35,2,0
54,2022-08-25 09:00:00,17,0,0
55,2022-08-25 09:30:00,37,11,1
56,2022-08-25 10:00:00,18,8,7
57,2022-08-25 10:30:00,54,0,2
58,2022-08-25 11:00:00,101,0,9
59,2022-08-25 11:30:00,18,11,6
60,2022-08-25 12:00:00,61,0,28
61,2022-08-25 12:30:00,0,0,0
62,2022-08-25 13:00:00,0,0,0
63,2022-08-26 03:00:00,0,0,0
64,2022-08-26 03:30:00,330,0,5
65,2022-08-26 04:00:00,534,71,81
66,2022-08-26 04:30:00,2277,336,460
67,2022-08-26 05:00:00,332,0,6
68,2022-08-26 05:30:00,39,3,10
69,2022-08-26 06:00:00,241,4,36
70,2022-08-26 06:30:00,377,94,74
71,2022-08-26 07:00:00,309,38,119
72,2022-08-26 07:30:00,66,12,21
73,2022-08-26 08:00:00,19,0,0
74,2022-08-26 08:30:00,102,10,16
75,2022-08-26 09:00:00,20,0,0
76,2022-08-26 09:30:00,14,0,4
77,2022-08-26 10:00:00,55,7,10
78,2022-08-26 10:30:00,56,0,0
79,2022-08-26 11:00:00,3,0,0
