start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Site name
49.1355,49.1434,38359.0,48750.0,Pipistrellus nathusii,0.697,0.712,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_001/20220803_063000.WAV,Carp Pond
49.2485,49.256299999999996,38359.0,44701.0,Pipistrellus nathusii,0.57,0.601,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_001/20220803_063000.WAV,Carp Pond
49.445499999999996,49.4542,37500.0,47889.0,Pipistrellus nathusii,0.64,0.664,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_001/20220803_063000.WAV,Carp Pond
49.555499999999995,49.5644,38359.0,45068.0,Pipistrellus nathusii,0.541,0.582,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_001/20220803_063000.WAV,Carp Pond
49.7615,49.769999999999996,38359.0,46920.0,Pipistrellus nathusii,0.696,0.716,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_001/20220803_063000.WAV,Carp Pond
50.0685,50.0767,38359.0,45404.0,Pipistrellus nathusii,0.455,0.526,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_001/20220803_063000.WAV,Carp Pond
50.4815,50.490700000000004,38359.0,43898.0,Pipistrellus nathusii,0.441,0.528,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_001/20220803_063000.WAV,Carp Pond
50.804500000000004,50.8142,38359.0,44229.0,Pipistrellus nathusii,0.555,0.588,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_001/20220803_063000.WAV,Carp Pond
208.1985,208.2049,46093.0,62903.0,Pipistrellus pipistrellus,0.44,0.574,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_001/20220803_063000.WAV,Carp Pond
208.9965,209.0068,46953.0,59959.0,Pipistrellus pipistrellus,0.438,0.524,-1,Echolocation,/mnt/ubna_data_01/recover-20220804/UBNA_001/20220803_063000.WAV,Carp Pond
