start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name,Recover Folder,SD Card
359.2405,359.2613,22031.0,28347.0,Echolocation,Nyctalus noctula,0.281,0.519,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
359.4205,359.4371,22890.0,28737.0,Echolocation,Nyctalus leisleri,0.273,0.584,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
359.5935,359.6134,22031.0,30677.0,Echolocation,Nyctalus noctula,0.265,0.587,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
359.8425,359.8631,22031.0,29929.0,Echolocation,Nyctalus noctula,0.283,0.558,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
360.0095,360.0254,22890.0,29435.0,Echolocation,Nyctalus leisleri,0.314,0.553,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
360.1915,360.2087,22890.0,28863.0,Echolocation,Nyctalus leisleri,0.291,0.57,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
360.3475,360.3613,23750.0,30865.0,Echolocation,Nyctalus leisleri,0.321,0.611,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
360.4665,360.4793,23750.0,30285.0,Echolocation,Nyctalus leisleri,0.404,0.63,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
360.5845,360.5968,23750.0,30670.0,Echolocation,Nyctalus leisleri,0.309,0.624,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
360.8215,360.8357,23750.0,29127.0,Echolocation,Nyctalus leisleri,0.505,0.65,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
361.3025,361.314,24609.0,30843.0,Echolocation,Eptesicus serotinus,0.22,0.509,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
361.9875,362.0023,22890.0,29952.0,Echolocation,Nyctalus leisleri,0.243,0.568,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
362.1345,362.1471,22890.0,28755.0,Echolocation,Nyctalus leisleri,0.402,0.623,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
362.4195,362.4337,22031.0,29045.0,Echolocation,Eptesicus serotinus,0.259,0.611,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
362.8185,362.8308,23750.0,29634.0,Echolocation,Nyctalus leisleri,0.258,0.571,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
363.2335,363.2442,24609.0,31215.0,Echolocation,Nyctalus leisleri,0.249,0.522,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
363.6075,363.6212,23750.0,31878.0,Echolocation,Eptesicus serotinus,0.287,0.633,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
363.9065,363.9208,23750.0,30974.0,Echolocation,Eptesicus serotinus,0.296,0.523,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
364.1825,364.1993,22890.0,27920.0,Echolocation,Nyctalus leisleri,0.309,0.541,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
364.3445,364.359,23750.0,33307.0,Echolocation,Eptesicus serotinus,0.353,0.622,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
364.6205,364.6371,22890.0,28021.0,Echolocation,Nyctalus leisleri,0.396,0.588,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
364.7905,364.8069,22890.0,29729.0,Echolocation,Nyctalus leisleri,0.292,0.574,-1,/mnt/ubna_data_02/recover-20220828/UBNA_012/20220828_033000.WAV,Carp Pond,recover-20220828,012
