start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Site name
110.3635,110.38,22890.0,27252.0,Echolocation,Nyctalus leisleri,0.47,0.595,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
113.0835,113.0984,22890.0,28279.0,Echolocation,Nyctalus leisleri,0.352,0.569,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
114.7045,114.7164,23750.0,28799.0,Echolocation,Nyctalus leisleri,0.352,0.568,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
115.1335,115.1507,22890.0,27198.0,Echolocation,Nyctalus leisleri,0.552,0.614,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
140.7645,140.782,22890.0,26371.0,Echolocation,Nyctalus leisleri,0.416,0.511,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
143.3105,143.3273,22890.0,27114.0,Echolocation,Nyctalus leisleri,0.426,0.531,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
144.0305,144.0454,22890.0,26494.0,Echolocation,Nyctalus leisleri,0.449,0.533,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
144.3095,144.32659999999998,22890.0,26810.0,Echolocation,Nyctalus leisleri,0.47,0.575,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
144.4635,144.4807,22031.0,26897.0,Echolocation,Nyctalus leisleri,0.437,0.567,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
144.5935,144.6051,23750.0,28459.0,Echolocation,Nyctalus leisleri,0.334,0.574,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
146.6365,146.6526,22890.0,26570.0,Echolocation,Nyctalus leisleri,0.622,0.672,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
146.7885,146.8016,23750.0,27151.0,Echolocation,Nyctalus leisleri,0.486,0.578,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
146.9255,146.9393,22890.0,26704.0,Echolocation,Nyctalus leisleri,0.568,0.621,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
147.0605,147.0751,23750.0,29516.0,Echolocation,Nyctalus leisleri,0.322,0.547,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
147.1935,147.2075,23750.0,27803.0,Echolocation,Nyctalus leisleri,0.585,0.66,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
147.3315,147.3444,23750.0,30681.0,Echolocation,Nyctalus leisleri,0.311,0.598,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
147.4625,147.47469999999998,23750.0,28892.0,Echolocation,Nyctalus leisleri,0.445,0.618,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
147.6025,147.6154,23750.0,29052.0,Echolocation,Nyctalus leisleri,0.547,0.668,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
147.7335,147.749,23750.0,28226.0,Echolocation,Nyctalus leisleri,0.435,0.567,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
147.8745,147.8893,22890.0,27876.0,Echolocation,Nyctalus leisleri,0.428,0.583,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
148.5005,148.5145,23750.0,27244.0,Echolocation,Nyctalus leisleri,0.472,0.567,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
148.6595,148.6757,22890.0,26016.0,Echolocation,Nyctalus leisleri,0.647,0.699,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
148.9365,148.9544,22890.0,26876.0,Echolocation,Nyctalus leisleri,0.489,0.568,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
149.0865,149.1043,22031.0,26292.0,Echolocation,Nyctalus leisleri,0.478,0.545,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
149.5115,149.5311,22031.0,26290.0,Echolocation,Nyctalus leisleri,0.486,0.545,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
150.4745,150.4903,23750.0,28504.0,Echolocation,Nyctalus leisleri,0.421,0.57,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
150.5895,150.6041,23750.0,29726.0,Echolocation,Nyctalus leisleri,0.291,0.539,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
150.7305,150.7462,23750.0,29808.0,Echolocation,Nyctalus leisleri,0.273,0.541,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
150.9925,151.0069,23750.0,29355.0,Echolocation,Nyctalus leisleri,0.338,0.578,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
151.1455,151.1586,24609.0,30095.0,Echolocation,Nyctalus leisleri,0.288,0.504,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
152.0675,152.0838,23750.0,26548.0,Echolocation,Nyctalus leisleri,0.601,0.653,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
152.6325,152.6484,22890.0,26065.0,Echolocation,Nyctalus leisleri,0.478,0.528,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
152.9195,152.937,22031.0,26336.0,Echolocation,Nyctalus leisleri,0.414,0.532,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
153.1905,153.2059,22890.0,26527.0,Echolocation,Nyctalus leisleri,0.636,0.669,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
153.4725,153.4908,22031.0,25754.0,Echolocation,Nyctalus leisleri,0.561,0.618,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
153.6135,153.6317,22890.0,25336.0,Echolocation,Nyctalus leisleri,0.689,0.716,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
153.7205,153.7377,24609.0,27827.0,Echolocation,Nyctalus leisleri,0.49,0.566,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
153.7715,153.7885,22890.0,25480.0,Echolocation,Nyctalus leisleri,0.7,0.734,-1,/mnt/ubna_data_01/recover-20220808/UBNA_013/20220807_043000.WAV,Carp Pond
